State_Name,County,Type,ALand,Median
Alabama,Mobile County,City,10894952,30506
Alabama,Barbour County,City,26070325,19528
Alabama,Shelby County,City,44835274,31930
Alabama,Mobile County,City,36878729,52814
Alabama,Mobile County,Town,16204185,67225
Alabama,Cullman County,Town,8913021,42643
Alabama,Escambia County,City,8826252,23610
Alabama,Elmore County,Town,10222339,40242
Alabama,Morgan County,Town,10544874,39591
Alabama,Talladega County,CDP,45178321,41712
Alabama,DeKalb County,City,145527967,38947
Alabama,Etowah County,City,96637272,28811
Alabama,Butler County,Town,16154540,19757
Alabama,Coosa County,Town,16819854,22745
Alabama,Hale County,City,6156793,21136
Alabama,Marion County,Town,5028328,39047
Alabama,Geneva County,City,16152099,21608
Alabama,Jefferson County,City,53950336,300000
Alabama,Etowah County,City,30893300,46738
Alabama,Covington County,Town,6618368,34049
Alabama,Etowah County,CDP,19297932,300000
Alabama,Lamar County,Town,7948840,34725
Alabama,Jackson County,Town,12755795,31635
Alabama,Covington County,Town,1347464,43794
Alabama,Covington County,Town,2818242,36849
Alabama,Washington County,Town,2579767,48713
Alabama,Chilton County,Town,8463711,30427
Alabama,Jefferson County,City,6869817,39817
Alabama,Mobile County,City,361044263,38231
Alabama,Lawrence County,City,15525177,28180
Alabama,Colbert County,City,42811752,49109
Alabama,Hale County,Town,3010370,17389
Alabama,Tuscaloosa County,City,43353277,54115
Alabama,Lee County,City,154497144,40430
Alabama,Sumter County,CDP,1858530,6190
Alabama,Lee County,City,72497364,79218
Alabama,Autauga County,CDP,64250372,57698
Alabama,Elmore County,City,86435482,39054
Alabama,Franklin County,City,25224456,29055
Alabama,Covington County,Town,17703764,25895
Alabama,Blount County,Town,9758714,44609
Alabama,Mobile County,City,73566058,52275
Alabama,Shelby County,CDP,48586750,45844
Alabama,Lee County,City,17386667,45637
Alabama,Franklin County,CDP,2403095,300000
Alabama,Walker County,City,13529257,39657
Alabama,Tallapoosa County,City,27817447,50493
Alabama,Mobile County,CDP,33596548,47636
Alabama,Tuscaloosa County,City,159585773,38843
Alabama,Chambers County,City,28436022,39263
Alabama,St. Clair County,Town,53311740,0
Alabama,Chambers County,Town,7054656,60438
Alabama,Cullman County,Town,8833073,49030
Alabama,Randolph County,Town,4036422,33446
Alabama,Chambers County,CDP,7764034,11398
Alabama,Pickens County,City,11819855,20997
Alabama,Jefferson County,Town,27893577,300000
Alabama,Lee County,City,152375113,38029
Alabama,Mobile County,City,19400655,35147
Alabama,Jefferson County,City,104798633,29150
Alabama,Greene County,Town,10231296,12379
Alabama,Marion County,Town,27687370,25776
Alabama,Shelby County,City,62376107,64695
Alabama,Pickens County,Town,5331435,27321
Alabama,Autauga County,Track,110354665,32942
Alabama,Autauga County,Track,145753222,56867
Alabama,Autauga County,Track,10526469,71401
Alabama,Autauga County,Track,7151912,74570
Alabama,Autauga County,Track,16899453,71839
Alabama,Autauga County,Track,8011090,75896
Alabama,Autauga County,Track,177682000,54091
Alabama,Autauga County,Track,536090556,28981
Alabama,Autauga County,Track,10137995,27264
Alabama,Autauga County,Track,83495162,31044
Alabama,Autauga County,Track,311017327,35722
Alabama,Autauga County,Track,32625607,74807
Alabama,Autauga County,Track,9071936,29413
Alabama,Autauga County,Track,1160279,12361
Alabama,Autauga County,Track,12325885,45803
Alabama,Autauga County,Track,6641779,40174
Alabama,Autauga County,Track,153528165,29226
Alabama,Autauga County,Track,6948352,23009
Alabama,Autauga County,Track,398488735,40342
Alabama,Autauga County,Track,145680961,36818
Alabama,Autauga County,Track,5349273,51927
Alabama,Autauga County,Track,8020338,35150
Alabama,Autauga County,Track,292756927,300000
Alabama,Autauga County,Track,971507312,43407
Alabama,Autauga County,Track,17478851,24377
Alabama,Autauga County,Track,144260774,97539
Alabama,Autauga County,Track,55584945,41882
Alabama,Autauga County,Track,39371387,300000
Alabama,Autauga County,Track,64410623,41768
Alabama,Autauga County,Track,12365598,52050
Alabama,Autauga County,Track,164751029,58784
Alabama,Autauga County,Track,34146324,300000
Alabama,Autauga County,Track,51913165,300000
Alabama,Autauga County,Track,81473914,46769
Alabama,Autauga County,Track,343304919,45615
Alabama,Autauga County,Track,14630161,26304
Alabama,Autauga County,Track,691793540,54574
Alabama,Autauga County,Track,215168178,32407
Alabama,Autauga County,Track,117119604,49459
Alabama,Autauga County,Track,578537985,39956
Alabama,Autauga County,Track,248719996,30660
Alabama,Autauga County,Track,181928636,47284
Alabama,Autauga County,Track,786335890,25206
